kW,CH01+CH02+CH03+CH04+CH05,CH01+CH02+CH03+CH04+CH06,CH01+CH02+CH03+CH04+CH07,CH01+CH02+CH03+CH05+CH06,CH01+CH02+CH03+CH05+CH07,CH01+CH02+CH03+CH06+CH07,CH01+CH02+CH04+CH05+CH06,CH01+CH02+CH04+CH05+CH07,CH01+CH02+CH04+CH06+CH07,CH01+CH02+CH05+CH06+CH07,CH01+CH03+CH04+CH05+CH06,CH01+CH03+CH04+CH05+CH07,CH01+CH03+CH04+CH06+CH07,CH01+CH03+CH05+CH06+CH07,CH01+CH04+CH05+CH06+CH07,CH02+CH03+CH04+CH05+CH06,CH02+CH03+CH04+CH05+CH07,CH02+CH03+CH04+CH06+CH07,CH02+CH03+CH05+CH06+CH07,CH02+CH04+CH05+CH06+CH07,CH03+CH04+CH05+CH06+CH07
15600,7.718307966678155,7.672163837616646,8.22554900607446,7.19569190125664,7.696709925372815,7.653690773962315,7.751121285631438,8.626422924053964,8.568822145099933,7.978752820991065,7.729230379850452,8.535314651673724,8.478920175878809,7.900749902039864,8.621001597764996,7.249864337850565,7.961522956697909,7.912434120002892,7.406635132315885,8.028876287625863,8.005390763921225
15700,7.571951951156151,7.524846121396476,8.278276884318526,7.054140175449454,7.746047809509821,7.702752894308227,7.8008079605393315,8.429598908005861,8.371258848565516,7.7927754391315505,7.7787767284392375,8.371949311093678,8.314401768592637,7.743481762084234,8.6762644285199,7.296337827195761,7.8188545919596715,7.76863685438322,7.267951576628208,8.08034344331577,8.05670737138226
15800,7.620180944475616,7.572775077583715,8.331004762562593,7.099071004592444,7.795385693646826,7.751815014654139,7.728698418542236,8.483290620795708,8.424578968620073,7.842410951482707,7.736810282639221,8.425273828998732,8.367359741640996,7.792803301970121,8.60565000954401,7.260181955983971,7.868656213564511,7.8181186177869355,7.314244261829662,8.02001220306414,8.028747449943625
15900,7.668409937795083,7.620704033770954,8.357955351828101,7.144001833735435,7.805526180710911,7.759221564001206,7.77761423131782,8.536982333585554,8.477899088674631,7.892046463833863,7.785777436326811,8.478598346903787,8.420317714689357,7.842124841856008,8.66011614884492,7.30613247469273,7.918457835169349,7.86760038119065,7.3605369470311155,8.070771773969609,8.07956230722175
16000,7.716638931114549,7.668632989958192,8.227217845215922,7.1889326628784245,7.694514145582395,7.649793095905376,7.706635793572575,8.5906740463754,8.531219208729189,7.94168197618502,7.71460046264908,8.531922864808843,8.473275687737718,7.891446381741895,8.566194295101145,7.246185876515535,7.968259456774188,7.917082144594365,7.4068296322325695,7.992503037532575,8.001069871201219
16100,7.764867924434014,7.716561946145431,8.278637956748522,7.233863492021415,7.7426048589922845,7.697604302754785,7.754802267282403,8.644365759165247,8.584539328783746,7.991317488536176,7.7628167155406365,8.585247382713899,8.52623366078608,7.940767921627781,8.619733009445527,7.291474538243757,8.018061078379027,7.966563907998079,7.453122317434023,8.042456181517155,8.051076557896225
16200,7.673927427146038,7.627032366646658,8.33005806828112,7.157861036577123,7.790695572402175,7.745415509604193,7.676807815531203,8.516156823088139,8.458441936572747,7.885251992385012,7.716253816033071,8.49071428647607,8.433342576688993,7.86343472302516,8.54271029753477,7.251826374583253,7.935656970930998,7.8855189726680175,7.3850508886675925,7.9771153499561995,8.019716437629684
16300,7.656657012735261,7.6070929362557225,8.38147817981372,7.12779753122849,7.8387862858120645,7.793226716453602,7.72419551809621,8.48919098555161,8.42830523513302,7.843915786105281,7.763885012428337,8.464063723469636,8.40353658768062,7.822458434020776,8.59544307714918,7.296590734920186,7.915537420015315,7.8625766365257554,7.351627605428529,8.026356802733707,8.069220860084188
16400,7.703630368641612,7.6537622180732425,8.43289829134632,7.171526350438481,7.886876999221955,7.84103792330301,7.771583220661218,8.541271911843337,8.480012629213592,7.892037968842123,7.811516208823603,8.515990494779265,8.455092026868845,7.87044897656078,8.648175856763594,7.34135509525712,7.964098999279212,7.910813303007509,7.396729615277784,8.075598255511213,8.118725282538692
16500,7.750603724547963,7.700431499890762,8.266935613730183,7.215255169648471,7.727885760235144,7.681190358602846,7.8189709232262254,8.593352838135065,8.531720023294163,7.940160151578966,7.859147405218868,8.567917266088896,8.50664746605707,7.918439519100785,8.700908636378006,7.386119455594054,8.012660578543109,7.959049969489262,7.441831625127039,8.124839708288722,8.168229704993196
16600,7.6536278509919695,7.604992199911851,8.317038253813395,7.134074394213798,7.774721431509296,7.727743027442863,7.612011307883626,8.457633797189029,8.398282803886806,7.827682006352248,7.68363069075835,8.466880217884448,8.40739983744655,7.835601672624409,8.465316245693858,7.233157199401818,7.92495470162944,7.872821331103321,7.369248487834845,7.9217655860172975,7.999362063759726
16700,7.6997340428654155,7.650805405935416,8.36714089389661,7.17705074598617,7.821557102783449,7.774295696282881,7.657866797690154,8.508583398376915,8.44887486897046,7.874836717233888,7.729917622630388,8.517885520401823,8.45804682441912,7.882804092339015,8.516312126692013,7.276730435542793,7.972695392603112,7.92024796562804,7.413641551014573,7.969487065451137,8.047550991854663
16800,7.745840234738861,7.696618611958981,8.417243533979823,7.220027097758542,7.868392774057601,7.820848365122898,7.7037222874966815,8.5595329995648,8.499466934054116,7.921991428115527,7.776204554502426,8.5688908229192,8.508693811391689,7.93000651205362,8.567308007690169,7.320303671683767,8.020436083576783,7.967674600152758,7.458034614194301,8.017208544884976,8.095739919949603
16900,7.724865024794047,7.672826651142785,8.467346174063035,7.1858823740797835,7.915228445331754,7.867401033962915,7.74957777730321,8.528641282970009,8.46525470490931,7.876395685988757,7.822491486374465,8.53787661390503,8.474353195081484,7.884271797439399,8.618303888688324,7.363876907824742,7.9962768394448736,7.940530702211906,7.420167011485096,8.064930024318814,8.14392884804454
17000,7.770574285295788,7.718227992273807,8.318108471309765,7.228402388127593,7.7876061764142746,7.741574878965959,7.795433267109737,8.579106616005333,8.515344969435398,7.923001577621827,7.868778418246503,8.588396593868966,8.524497296827528,7.930924293282236,8.66929976968648,7.4074501439657165,8.043592087015552,7.987516090982392,7.464073325162523,8.112651503752653,8.192117776139478
17100,7.666550829824278,7.615888098843286,8.34059368855228,7.141181780312709,7.792924726485703,7.743973347750144,7.578552702296728,8.434623732485301,8.373341785422964,7.8030494342153665,7.683673666484057,8.47974520074226,8.417808245182234,7.841651147712008,8.422627933241602,7.246468909567726,7.949695983025208,7.8952352330675435,7.386229974148413,7.9001448831976235,8.014443927649282
17200,7.711384460408046,7.660425456146463,8.38936909023972,7.1829430772736025,7.838497385704917,7.789259741596636,7.622871723947585,8.483949017470595,8.422308696448829,7.8486813022517135,7.728607430615543,8.529334353962975,8.46703519398447,7.887508756762956,8.471883067354126,7.288845920734789,7.996185433218338,7.941406199342793,7.429424301482614,7.946344560877142,8.061312020793428
17300,7.756218090991813,7.70496281344964,8.438144491927162,7.224704374234495,7.884070044924132,7.834546135443127,7.667190745598444,8.533274302455888,8.471275607474693,7.8943131702880605,7.773541194747029,8.57892350718369,8.516262142786704,7.933366365813903,8.52113820146665,7.331222931901851,8.042674883411468,7.987577165618042,7.472618628816815,7.99254423855666,8.108180113937577
17400,7.801051721575581,7.7495001707528175,8.486919893614601,7.266465671195388,7.929642704143347,7.87983252928962,7.711509767249302,8.582599587441184,8.52024251850056,7.9399450383244075,7.8184749588785145,8.628512660404406,8.56548909158894,7.97922397486485,8.570393335579174,7.373599943068914,8.089164333604598,8.03374813189329,7.5158129561510165,8.038743916236179,8.155048207081725
17500,7.621583873595325,7.5691990151361965,8.328685414967286,7.094297985051332,7.794210492359342,7.74635539462351,7.610164592001909,8.346782159060684,8.28399518773741,7.718515051037855,7.753602916766938,8.428497566664428,8.364479916942797,7.788340444082581,8.46751095773197,7.320527723636928,7.915546471712638,7.859057717302282,7.348315196311558,7.953656686713287,8.110469090944699
17600,7.665135781444441,7.612451580936975,8.376277903052813,7.1348368306801975,7.838748838029967,7.790620282592787,7.653651246813348,8.394478057112458,8.33133230309591,7.762620851329499,7.797909219148463,8.47666040990251,8.412276945039613,7.832845246620196,8.515896734633294,7.362359310629139,7.96077816583671,7.90396661854401,7.390305568861909,7.999106153494506,8.15681462860724
17700,7.708687689293557,7.655704146737753,8.396570373368077,7.175375676309062,7.841368396159072,7.790161414032351,7.571721011935275,8.442173955164234,8.37866941845441,7.806726651621145,7.712066268047716,8.524823253140593,8.460073973136428,7.877350049157811,8.409299897738078,7.288066864496485,8.006009859960782,7.948875519785737,7.432295941412261,7.9076622779862005,8.060863439510703
17800,7.752239597142673,7.698956712538531,8.444008624065072,7.215914521937926,7.885669912521553,7.834173625411065,7.614499096748468,8.489869853216009,8.42600653381291,7.8508324519127894,7.7556372639123925,8.572986096378674,8.507871001233244,7.921854851695426,8.456810066651853,7.32924238350494,8.051241554084854,7.993784421027465,7.474286313962613,7.952338336053919,8.106405040863871
17900,7.795791504991789,7.74220927833931,8.27779445912333,7.256453367566792,7.743328819882842,7.693944638231209,7.506282371109095,8.537565751267785,8.473343649171408,7.894938252204434,7.685098397971408,8.621148939616758,8.55566802933006,7.966359654233041,8.346231510280454,7.272407443668551,8.096473248208927,8.038693322269191,7.516276686512964,7.861718723144643,8.058091743567397
18000,7.606908616311687,7.552514154217808,8.324039120906143,7.075550556847244,7.786587640105651,7.736927569171049,7.54821690949518,8.291044007772681,8.226467058721711,7.663752342808083,7.7280319085746,8.410634243400214,8.344188404623116,7.765819616535941,8.392858501957999,7.313035418214185,7.914106223914369,7.8552467136419715,7.340582687922421,7.905638939475059,8.103109015877829
18100,7.649169219735641,7.594472566185685,8.370283782688954,7.114859171051951,7.82984646032846,7.779910500110888,7.590151447881264,8.337105363371418,8.272169653492387,7.706328744712573,7.770965419177792,8.457359989196881,8.390545006871022,7.808963058850029,8.439485493635543,7.353663392759819,7.958073480713893,7.898886973162205,7.381363702855323,7.949559155805477,8.148126288188262
18200,7.691429823159594,7.6364309781535615,8.416528444471766,7.154167785256658,7.873105280551269,7.822893431050726,7.5042960713534415,8.383166718970156,8.317872248263063,7.748905146617061,7.680001433386498,8.504085734993549,8.436901609118928,7.852106501164118,8.328418656277147,7.2742779459132905,8.002040737513418,7.942527232682438,7.422144717788226,7.853411801756233,8.046055655229624
18300,7.733690426583548,7.678389390121438,8.434645084716438,7.193476399461365,7.873029185222886,7.819570003169949,7.545528467349889,8.429228074568893,8.36357484303374,7.791481548521551,7.72219924346005,8.550811480790216,8.483258211366834,7.895249943478206,8.374179198344605,7.314246506055671,8.046007994312943,7.9861674922026715,7.462925732721128,7.896562416051597,8.09026475223638
18400,7.606426985630086,7.553213454278845,8.259069205582316,7.085893315064194,7.722584019977479,7.671419463345214,7.429322633113388,8.255879207678545,8.193228208261887,7.646224551499437,7.645014888494849,8.41653051233704,8.351427149683204,7.78382760821245,8.254659588656661,7.25304780367419,7.932071215164503,7.874221152413496,7.367667167079852,7.799546581353997,8.037615997619683
18500,7.647766262725902,7.594263527399926,8.303955451264828,7.124403604819977,7.7645545853034434,7.713111960428612,7.469699386554222,8.30074811641593,8.237756622437223,7.687780119714108,7.68656388245406,8.462272525991045,8.39681534071409,7.826131019126648,8.299521869029794,7.292466541737636,7.975180297855615,7.917015832589656,7.407708836466156,7.841935421470052,8.08129869325892
18600,7.618410698109848,7.561714976796755,8.348841696947341,7.081046766864486,7.806525150629407,7.75480445751201,7.510076139995055,8.262399999191912,8.195756032514453,7.6340950940058185,7.728112876413271,8.421544138086182,8.35231890961671,7.7697569334543,8.344384149402929,7.331885279801083,7.9414420790413525,7.879855901637383,7.3592831609299765,7.884324261586106,8.124981388898158
18700,7.659369895411514,7.602369358392436,8.393727942629853,7.11911691077236,7.848495715955372,7.7964969545954075,7.550452893435889,8.306821504563912,8.239819236990337,7.675138616016603,7.769661870372482,8.46682125710815,8.397223849990993,7.811529820193302,8.389246429776064,7.37130401786453,7.984138004197489,7.922220718312852,7.3988491994296,7.926713101702161,8.168664084537397
18800,7.700329092713179,7.643023739988117,8.438614188312366,7.157187054680234,7.890466281281337,7.838189451678805,7.296799243422945,8.35124300993591,8.283882441466222,7.716182138027387,7.548488978039117,8.512098376130119,8.442128790365276,7.853302706932303,8.101089584503969,7.182277038490101,8.026833929353625,7.964585534988323,7.438415237929224,7.680789370010718,7.9601733241539545
18900,7.56493136793636,7.509906845419362,8.252049813777337,7.042656298952187,7.72971910609764,7.6798075727246635,7.335612005356046,8.168141340070196,8.104029096344872,7.56258917465936,7.588640515156347,8.368824552804348,8.301536234951497,7.734306948708695,8.144180486549203,7.220480639758666,7.906107283854876,7.846027375331624,7.3374316981887,7.721644632617158,8.002514671622858
19000,7.604957459830203,7.549641802273433,8.268195471305713,7.0799190306926745,7.727907844385346,7.674709547776758,7.374424767289147,8.211359019118186,8.146907557172094,7.602602873996182,7.628792052273576,8.41310404779273,8.345459707094099,7.775229207696571,8.187271388594437,7.25868424102723,7.947938539325008,7.887540747687876,7.376254088126206,7.7624998952235975,8.044856019091762
19100,7.644983551724046,7.589376759127503,8.311712289575743,7.117181762433162,7.768581043566321,7.715102755922952,7.413237529222248,8.254576698166176,8.189786017999316,7.6426165733330045,7.668943589390805,8.457383542781113,8.389383179236699,7.816151466684448,8.23036229063967,7.296887842295794,7.98976979479514,7.929054120044127,7.415076478063713,7.803355157830038,8.087197366560666
19200,7.612234748732801,7.55325170777362,8.355229107845773,7.0699947133210115,7.809254242747297,7.755495964069145,7.276356291160341,8.213014988413256,8.144396279647422,7.585335778884103,7.5743626999571445,8.412688914988705,8.340707767748848,7.7553399444090525,8.087134163663334,7.22473969284312,7.9521478180301415,7.887801831365523,7.36227699443472,7.689812625695923,8.023424161566902
19300,7.469315024839496,7.412809803212801,8.398745926115803,6.949065803873102,7.849927441928272,7.795889172215338,7.314253980176801,8.021106343915127,7.955980564087732,7.4242229234023736,7.613812505686088,8.261008900183368,8.191945951443879,7.629293250143258,8.12925465409908,7.262368545410011,7.825348567055898,7.763350544595528,7.256210296184558,7.729863733121423,8.065212829075064
19400,7.508016138957835,7.45121814416209,8.202238497655589,6.985071326172963,7.680530117565269,7.629056140822699,7.224926510398898,8.062666480412098,7.997203261310985,7.462690399689433,7.515500259457314,8.303812055106597,8.23439126725447,7.668823266983378,8.014520351044052,7.174555443667803,7.865894414553598,7.80357515881623,7.293807240724374,7.62796013807714,7.9525850041864405
19500,7.546717253076174,7.48962648511138,8.244518077540413,7.021076848472823,7.720120478996018,7.668381172476424,7.262168399627758,8.104226616909067,8.038425958534237,7.501157875976491,7.554239951516371,8.346615210029828,8.276836583065059,7.708353283823499,8.055832311616443,7.211537688222791,7.906440262051296,7.843799773036932,7.331404185264191,7.667279520232176,7.993577710393587
19600,7.585418367194514,7.528034826060669,8.258627176132771,7.057082370772685,7.7157862817757845,7.660583051943471,7.116612450589987,8.145786753406036,8.07964865575749,7.539625352263551,7.451795618625382,8.389418364953057,8.31928189887565,7.747883300663619,7.902586884726305,7.135103470033087,7.9469861095489955,7.884024387257634,7.369001129804007,7.547332967187124,7.9253943711600705
19700,7.624119481312853,7.566443167009958,8.300763029072225,7.093087893072545,7.755152538315457,7.699667659351346,-,8.187346889903006,8.120871352980743,7.578092828550609,-,8.432221519876288,8.36172721468624,7.78741331750374,-,-,7.987531957046694,7.924249001478336,7.406598074343823,-,-
19800,7.397948640204247,7.339718493043462,8.095264300944441,6.878093158066912,7.577945906347637,7.525224821957143,-,7.899371841973138,7.833016063721057,7.3094675417383845,-,8.179719349653908,8.10859128601637,7.548872744977407,-,-,7.771988535311945,7.707746873405877,7.2002676539744925,-,-
19900,7.435312017174976,7.376787778361862,8.136149474181535,6.912831002299574,7.616218360420099,7.563231007926623,-,7.93926765935684,7.872576750911566,7.346384044474437,-,8.221031063541048,8.149543767258876,7.586998364901536,-,-,7.811241002662006,7.746674887918028,7.236632642125879,-,-
20000,7.472675394145704,7.413857063680264,8.177034647418628,6.947568846532235,7.654490814492562,7.601237193896104,-,7.979163476740543,7.912137438102077,7.383300547210489,-,8.26234277742819,8.190496248501383,7.625123984825664,-,-,7.850493470012066,7.7856029024301785,7.272997630277265,-,-
20100,7.510038771116433,7.4509263489986655,8.217919820655721,6.982306690764896,7.692763268565025,7.639243379865584,-,8.019059294124245,7.951698125292587,7.420217049946541,-,8.30365449131533,8.23144872974389,7.663249604749792,-,-,7.889745937362126,7.824530916942329,7.3093626184286515,-,-
20200,7.346350318262413,7.290054851605574,8.2300265757182,6.842929918827083,7.685933941833063,7.628762175233432,-,7.802423031624009,7.738950973359685,7.236961773408315,-,8.128371110776913,8.059508564381579,7.516530850082066,-,-,7.746018873340236,7.683457505191197,7.188411432528554,-,-
20300,7.3827183891449,7.326144232059067,8.013958112404296,6.876805809514345,7.499544727316811,7.4453686785283155,-,7.841048888216208,7.777262611841664,7.27278831684103,-,8.168610571721352,8.099407121630993,7.553741398844848,-,-,7.784365501426079,7.721494423533728,7.223997627739091,-,-
20400,7.346390114465214,7.286199014595217,8.053435738573775,6.825579474064099,7.536488297402117,7.4820453715259925,-,7.797721870107423,7.72994192160305,7.213497137743276,-,8.119945562196142,8.046474550073277,7.488394906099767,-,-,7.741933782557322,7.675116060309724,7.165729850751059,-,-
20500,7.382401830712593,7.321915676431468,8.092913364743254,6.8590381969761784,7.573431867487421,7.5187220645236685,-,7.835945996921676,7.767833793767771,7.248857417830253,-,8.15974921691279,8.085918052769715,7.525102724266923,-,-,7.779884438354171,7.712739178252419,7.200855977470426,-,-
20600,7.418413546959971,7.357632338267719,8.132390990912734,6.8924969198882575,7.610375437572725,7.5553987575213455,-,7.874170123735928,7.805725665932492,7.28421769791723,-,8.199552871629436,8.125361555466153,7.5618105424340785,-,-,7.817835094151021,7.750362296195114,7.2359821041897945,-,-
20700,7.244592276382659,7.186892756711798,8.171868617082213,6.744457421957758,7.647319007658029,7.5920754505190216,-,7.6460912407937505,7.581847384883849,7.091108162148502,-,8.01274352448137,7.942218997028594,7.405372193384089,-,-,7.6663027354407225,7.601720223673575,7.1084887467369935,-,-
20800,-,-,7.915645350038224,-,7.405400188821322,7.349837240513333,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20900,-,-,7.953701337298023,-,7.441003074344502,7.38517299647734,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21000,-,-,7.991757324557822,-,7.4766059598676815,7.420508752441346,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21100,-,-,8.029813311817621,-,7.512208845390861,7.455844508405352,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21200,-,-,8.06786929907742,-,7.547811730914041,7.491180264369358,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21300,-,-,7.827560694446113,-,7.339239821188388,7.285933459823931,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21400,-,-,7.836491205199074,-,7.3293757657185665,7.272239896093893,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21500,-,-,7.873110322980379,-,7.363625185184541,7.306222325514893,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21600,-,-,7.909729440761683,-,7.397874604650516,7.340204754935892,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21700,-,-,7.6586713679053835,-,7.179883573417948,7.125798350159576,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21800,-,-,7.693964784347344,-,7.212970594493608,7.158636130575058,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21900,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
22000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
