kW,CH01+CH02+CH03,CH01+CH02+CH04,CH01+CH02+CH05,CH01+CH02+CH06,CH01+CH02+CH07,CH01+CH03+CH04,CH01+CH03+CH05,CH01+CH03+CH06,CH01+CH03+CH07,CH01+CH04+CH05,CH01+CH04+CH06,CH01+CH04+CH07,CH01+CH05+CH06,CH01+CH05+CH07,CH01+CH06+CH07,CH02+CH03+CH04,CH02+CH03+CH05,CH02+CH03+CH06,CH02+CH03+CH07,CH02+CH04+CH05,CH02+CH04+CH06,CH02+CH04+CH07,CH02+CH05+CH06,CH02+CH05+CH07,CH02+CH06+CH07,CH03+CH04+CH05,CH03+CH04+CH06,CH03+CH04+CH07,CH03+CH05+CH06,CH03+CH05+CH07,CH03+CH06+CH07,CH04+CH05+CH06,CH04+CH05+CH07,CH04+CH06+CH07,CH05+CH06+CH07
0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
200,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
300,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
400,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
600,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
700,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
800,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
900,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1200,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1300,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1400,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1600,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1700,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1800,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1900,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2200,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2300,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2400,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2600,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2700,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2800,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2900,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3200,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.290428784,-,-,-
3300,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.424504683,-,-,-
3400,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.558580583,-,-,-
3500,-,-,-,-,-,-,-,-,-,4.863868985,4.82965932,-,4.399813711,-,-,-,-,-,-,4.378724602,4.350979577,-,3.999012891,-,-,3.977015,3.954113873,-,3.661265943,-,-,4.587777561,4.92715145,4.892049021,4.451532632
3600,-,-,-,-,-,-,-,-,-,5.00283667,4.967649586,-,4.525522674,-,-,-,-,-,-,4.50383102,4.475293279,-,4.113270403,-,-,4.090644,4.067088555,-,3.765873542,-,-,4.71885692,5.067927206,5.03182185,4.578719279
3700,-,-,-,-,-,-,-,-,-,5.105173704,5.069520858,-,4.62123692,-,-,-,-,-,-,4.599883387,4.570918816,-,4.203281167,-,-,4.187611433,4.163592629,-,3.856355745,-,-,4.849936279,5.169096329,5.132548259,4.673552958
3800,-,4.883301265,4.476056736,4.449343505,-,4.424265523,4.087344161,4.065057612,-,5.158893495,5.126418979,5.513701522,4.682634317,5.000055173,4.966744644,4.048464883,3.764512646,3.745599447,-,4.655691332,4.629226773,4.941996932,4.264285737,4.525321348,4.498018649,4.243933844,4.221932364,4.472390547,3.916263552,4.128384544,4.105649441,4.870087516,5.222437915,5.189161046,4.73492824
3900,-,5.011809193,4.593847703,4.566431492,-,4.540693563,4.194905849,4.172032812,-,5.29465385,5.261324742,5.658798931,4.805861536,5.131635572,5.09744845,4.155003432,3.863578768,3.844167853,-,4.778209525,4.75104853,5.072049483,4.376503782,4.644408752,4.616387561,4.355616314,4.333035847,4.590085035,4.019323119,4.237026242,4.213692848,4.998247714,5.359870492,5.325717916,4.859531614
4000,-,5.140317121,4.71163867,4.683519479,-,4.657121603,4.302467537,4.279008013,-,5.390496625,5.356812069,5.803896339,4.896178868,5.263215971,5.228152256,4.261541982,3.962644891,3.94273626,-,4.869318655,4.841816158,5.202102034,4.462357708,4.763496156,4.734756473,4.448594841,4.425628414,4.707779523,4.106450323,4.345667941,4.321736254,5.126407911,5.455331011,5.420833891,4.949608682
4100,-,5.200577187,4.772028225,4.743885133,-,4.725874002,4.36930742,4.345702246,-,5.52525904,5.490732371,5.858831546,5.01858334,5.320545558,5.285584559,4.328649476,4.027595632,4.007529795,-,4.991051621,4.962861562,5.260379215,4.573916651,4.822332802,4.793595025,4.559809712,4.536269124,4.775205181,4.209111581,4.411442179,4.387380797,5.137378679,5.591714286,5.556354739,5.073348899
4200,4.249853287,5.28589871,4.856514764,4.830452098,5.130949343,4.806827171,4.449114485,4.427231221,4.67030178,5.527347209,5.497172854,5.949083665,5.03682585,5.410684317,5.378354152,4.405422741,4.103079818,4.084461045,4.289972538,5.005907097,4.981144636,5.346202713,4.60017327,4.907372334,4.880762448,4.589062672,4.568243899,4.856644067,4.245769882,4.491759866,4.469456134,5.262680598,5.592106542,5.561222965,5.090545284
4300,4.35104027,5.339715705,4.91127069,4.885235155,5.253114804,4.869891881,4.51099112,4.489017056,4.781499441,5.658950714,5.628057922,5.996843532,5.156750275,5.461741111,5.429561335,4.467996722,4.164040604,4.145309684,4.392114741,5.125095361,5.099743318,5.398839955,4.709701205,4.961243233,4.934676608,4.698326069,4.677011611,4.919021694,4.346859641,4.55311493,4.530729578,5.387982517,5.725251936,5.693633036,5.211748743
4400,4.391292578,5.46389514,5.025486288,4.998845275,5.274408714,4.983145181,4.61589789,4.593412801,4.817129229,5.790554219,5.75894299,6.136305009,5.2766747,5.588758346,5.555830203,4.571903622,4.260878757,4.241712235,4.43092635,5.244283625,5.218342,5.524394373,4.81922914,5.076620982,5.049436529,4.807589465,4.785779323,5.033417548,4.4479494,4.659001323,4.636095382,5.389661186,5.85839733,5.826043106,5.332952202
4500,4.491094682,5.545118216,5.105780285,5.081731537,5.394281639,5.060644559,4.692171703,4.671853666,4.926609438,5.782000716,5.755297427,6.221637988,5.285453017,5.673854771,5.6441725,4.645696953,4.333307639,4.315972918,4.531629221,5.250491053,5.228462158,5.606039629,4.837779516,5.157385634,5.132849465,4.829397274,4.810753883,5.111337017,4.478015568,4.735719164,4.71502307,5.512153485,5.848860852,5.821537885,5.341267171
4600,4.590896786,5.590907776,5.153519903,5.129550535,5.514154564,5.116937484,4.74811941,4.727765359,5.036089648,5.910489621,5.883192925,6.260085081,5.402907529,5.7168161,5.687335496,4.702871471,4.389500567,4.372099397,4.632332093,5.367168632,5.344650206,5.651349401,4.945285728,5.204831112,5.180383196,4.936717213,4.917659525,5.167519234,4.577527025,4.791641283,4.770913201,5.634645785,5.978835538,5.950905394,5.459961997
4700,4.623858977,5.712449249,5.265552944,5.241062503,5.525937625,5.228175255,4.851339397,4.830542867,5.063429931,5.989691719,5.962253973,6.396173888,5.479148177,5.841094711,5.810973224,4.805107807,4.484924492,4.467145036,4.664326928,5.44612551,5.42343233,5.774204823,5.020750875,5.317979614,5.293000222,5.020134838,5.000846607,5.279856609,4.656480757,4.895807398,4.874628705,5.626937753,6.06001774,6.031933419,5.537937543
4800,4.722238955,5.833990723,5.377585986,5.352574471,5.643510766,5.339413026,4.954559385,4.933320375,5.171162483,6.019666282,5.997218421,6.532262694,5.519620452,5.965373322,5.934610952,4.907344144,4.580348418,4.562190675,4.763567927,5.481305541,5.462687112,5.897060244,5.063598804,5.431128116,5.405617248,5.058303398,5.042443565,5.392193984,4.700475002,4.999973513,4.978344209,5.746659833,6.089205102,6.066236602,5.57803007
4900,4.820618934,5.827237856,5.382345611,5.361080914,5.761083907,5.351627778,4.974041815,4.955875573,5.278895035,6.145075996,6.122160471,6.505605904,5.634612544,5.955986607,5.929958616,4.927621061,4.605697182,4.590117648,4.862808925,5.595499406,5.576493094,5.889550932,5.169090446,5.4354637,5.413778056,5.163684718,5.147494472,5.404138334,4.798401564,5.019372588,5.000874338,5.866381912,6.216063542,6.192616532,5.69423903
5000,4.846319078,5.946161078,5.492189399,5.470490728,5.76335705,5.460844671,5.075552873,5.057015891,5.297953021,6.217801815,6.194809181,6.638373371,5.70527903,6.077537354,6.050978179,5.028184757,4.699691002,4.683793519,4.888009232,5.669722256,5.650598194,6.009745849,5.240452779,5.546391531,5.524263323,5.243437571,5.227076983,5.514426871,4.874189746,5.121808764,5.102932998,5.849205255,6.291551778,6.268011506,5.767311266
5100,4.94324546,6.0650843,5.602033187,5.579900543,5.878624191,5.570061565,5.17706393,5.158156209,5.403912082,6.342157851,6.318705365,6.771140839,5.819384611,6.199088101,6.171997743,5.128748452,4.793684823,4.777469389,4.985769417,5.783116701,5.763610158,6.129940766,5.345261835,5.657319361,5.634748589,5.348306322,5.331618522,5.624715409,4.971673541,5.224244939,5.204991658,5.96618936,6.417382813,6.393371736,5.882657491
5200,5.040171842,6.094566926,5.635487738,5.613519524,5.993891332,5.612823485,5.221119271,5.202257456,5.509871142,6.362678571,6.344909449,6.790325476,5.851830582,6.225304661,6.198508301,5.1753275,4.840485443,4.824269267,5.083529601,5.810052178,5.795232068,6.160314224,5.381098008,5.691657484,5.669250037,5.379146782,5.366441032,5.66854011,5.009435944,5.269297242,5.250086366,6.083173465,6.436920966,6.418735343,5.914571205
5300,5.058624173,6.164962882,5.705360457,5.687088246,5.986650904,5.681038763,5.288460899,5.272757807,5.520640101,6.42893884,6.411139555,6.862854248,5.916880411,6.298071861,6.275813371,5.241062343,4.905139566,4.891627467,5.101947608,5.879605198,5.864714226,6.230963091,5.44838105,5.761841678,5.743206489,5.455312216,5.442490525,5.737037093,5.082104483,5.336954278,5.320962317,6.056455719,6.506742184,6.488510088,5.982719959
5400,5.154069912,6.188211503,5.733208995,5.715098861,6.099606582,5.718385882,5.327669516,5.31202732,5.624803122,6.550239573,6.532104453,6.874899619,6.028519664,6.317858654,6.295873674,5.283462018,4.948176613,4.934680633,5.19821077,5.990541145,5.975369211,6.255787196,5.551180693,5.791166169,5.772688622,5.558242635,5.545179025,5.776042242,5.177993247,5.377681694,5.361744884,6.170728469,6.629510905,6.610934806,6.095601467
5500,5.249515651,6.302808012,5.839379532,5.820934025,6.212562259,5.824281917,5.426330063,5.410398196,5.728966143,6.504797798,6.493130052,7.002212575,6.004735422,6.434856037,6.412463928,5.381303907,5.039809513,5.026063608,5.294473933,5.967242457,5.957422014,6.371635108,5.543724503,5.898409987,5.879590263,5.554679348,5.546168926,5.883005987,5.185889661,5.477268392,5.461036456,6.285001218,6.585828518,6.573868538,6.073720339
5600,5.260722693,6.368793663,5.905032868,5.890815683,6.195800692,5.888644336,5.48998579,5.477694855,5.731427506,6.623066848,6.611186962,7.069578066,6.113912429,6.502685481,6.485448998,5.443670877,5.101233179,5.090619604,5.306113663,6.075737774,6.065738778,6.437808804,5.644519493,5.964316132,5.949812399,5.655673518,5.647008361,5.94759735,5.280178564,5.541192109,5.528671086,6.248676938,6.705570855,6.69339342,6.184151618
5700,5.354664169,6.384127146,5.925799372,5.911732718,6.30643999,5.919320361,5.523231358,5.511009045,5.833774426,6.741335899,6.729243872,7.072328665,6.223089437,6.514179995,6.497185274,5.480916115,5.139634351,5.129049174,5.400865693,6.184233092,6.174055541,6.455399488,5.745314484,5.987156345,5.972797238,5.756667688,5.747847796,5.980542544,5.374467467,5.576497486,5.564038557,6.360260454,6.825313192,6.812918303,6.294582897
5800,5.448605646,6.496129376,6.029760764,6.015447327,6.417079288,6.023168086,5.620130153,5.607693414,5.936121346,6.684896872,6.679728095,7.196404607,6.189618338,6.628463855,6.611170981,5.577072538,5.229803374,5.219032492,5.495617723,6.152016196,6.147638354,6.568652111,5.730059823,6.092194175,6.077583155,5.745377365,5.741558954,6.085464343,5.375682759,5.674330775,5.661653269,6.471843971,6.771275936,6.765972772,6.263601219
5900,5.452559667,6.608131607,6.133722156,6.119161937,6.390785513,6.127015812,5.717028949,5.704377783,5.930246108,6.800153715,6.794895821,7.320480548,6.296335895,6.742747715,6.725156687,5.673228961,5.319972398,5.309015811,5.500476253,6.25808544,6.253632119,6.681904734,5.828853958,6.197232006,6.182369071,5.844435595,5.840551349,6.190386142,5.468366944,5.772164064,5.759267981,6.425852816,6.888022072,6.882627475,6.371594343
6000,5.544975933,6.565047861,6.104847399,6.095424398,6.499103911,6.107564689,5.707312195,5.699075622,6.030758754,6.848875445,6.843630791,7.251994196,6.345971489,6.694536041,6.683206408,5.668091803,5.321734446,5.314572484,5.593704664,6.315713195,6.311253049,6.640637909,5.885601805,6.170158659,6.160533119,5.911823124,5.907915015,6.172934414,5.533315581,5.764354787,5.75595287,6.534765575,6.942860349,6.937470823,6.426579539
6100,5.637392198,6.674465326,6.206594856,6.197014804,6.60742231,6.209357434,5.802434065,5.794060216,6.131271399,6.963023369,6.957691304,7.372860766,6.451737681,6.806111642,6.794593181,5.762559999,5.41043002,5.403148692,5.686933075,6.420975081,6.4164406,6.751315207,5.983695169,6.272994637,6.263208671,6.01035351,6.006380266,6.275816654,5.625537508,5.860427367,5.851885418,6.643678335,7.058574689,7.053095337,6.533689198
6200,5.634076188,6.78388279,6.308342312,6.298605211,6.571581998,6.311150179,5.897555935,5.88904481,6.117021015,6.960169758,6.962211432,7.493727336,6.464111264,6.917687242,6.905979955,5.857028196,5.499125594,5.4917249,5.685001399,6.426614543,6.428355152,6.861992506,6.001371699,6.375830615,6.365884223,6.021510475,6.023038535,6.378698895,5.646624989,5.956499947,5.947817965,6.587963526,7.054081583,7.056178732,6.545035913
6300,5.724948384,6.730913802,6.270316263,6.26612919,6.677575256,6.282993351,5.879822649,5.876140697,6.215682644,7.002222075,7.004255688,7.41386732,6.507770796,6.858911812,6.853902076,5.844916649,5.494439387,5.491224141,5.77669497,6.479699058,6.481440452,6.811459983,6.054045845,6.340158847,6.33587801,6.085533517,6.087069468,6.35312021,5.70858462,5.941194426,5.937435236,6.694221002,7.103162705,7.105255381,6.594870543
6400,5.815820581,6.837753704,6.369845093,6.365591558,6.783568514,6.382723404,5.973153167,5.969412771,6.314344273,7.113368457,7.11543435,7.531547754,6.611068745,6.967783428,6.962694172,5.937693104,5.581652711,5.578386429,5.868388541,6.582551424,6.584320459,6.919578395,6.15014181,6.440796289,6.436447502,6.182129287,6.183689618,6.453963387,5.799197074,6.0354991,6.031680239,6.800478478,7.21591132,7.218037212,6.699551028
6500,5.805208844,6.944593605,6.469373922,6.465053926,6.738164183,6.482453457,6.066483685,6.062684846,6.291671186,7.030278283,7.040066302,7.649228188,6.553965277,7.076655044,7.071486269,6.030469559,5.668866035,5.665548717,5.859652151,6.529435377,6.537877622,7.027696808,6.116578102,6.541433731,6.537016995,6.152873463,6.160369475,6.554806565,5.784921406,6.129803773,6.125925243,6.73498551,7.137262116,7.147350516,6.646847769
6600,5.89451975,6.935397192,6.468090322,6.463837425,6.841828248,6.49258875,6.081280267,6.077520683,6.388466127,7.13843641,7.148375014,7.622783479,6.654795512,7.061998996,7.056929536,6.052275624,5.693321336,5.690026011,5.949800646,6.629888229,6.638460354,7.022915008,6.210679303,6.54414691,6.539793441,6.247533055,6.25514439,6.569225983,5.873920197,6.148464821,6.144621734,6.838600671,7.247066149,7.257309755,6.749106966
6700,5.983830655,6.985933934,6.51947377,6.52113134,6.945492312,6.543135401,6.132194496,6.133660962,6.485261068,7.246594538,7.256683727,7.672437692,6.755625747,7.113463184,7.115436601,6.102397335,5.743434336,5.744720738,6.039949141,6.730341081,6.739043087,7.073397951,6.304780505,6.595583933,6.597280435,6.342192646,6.349919305,6.619802279,5.962918988,6.199484156,6.200982986,6.942215833,7.356870182,7.367268993,6.851366162
6800,5.965889124,6.970563884,6.51246745,6.514097128,6.890503325,6.547871104,6.142030475,6.143480009,6.454108954,7.152302596,7.170474835,7.638798787,6.688631308,7.092105558,7.094038286,6.120290033,5.764281337,5.765558036,6.0243884,6.66818535,6.683978083,7.063134984,6.263382409,6.593200593,6.594870933,6.305005508,6.319122979,6.629489911,5.94189603,6.213789831,6.215273438,6.866891355,7.267677494,7.286441508,6.789426578
6900,6.053622788,7.073072177,6.60823903,6.609892675,6.991834256,6.644163326,6.232354452,6.233825304,6.549022321,7.257483517,7.275922994,7.751134064,6.786993533,7.196401228,7.198362379,6.210294298,5.84905018,5.850345654,6.112982347,6.766246899,6.782271878,7.167004616,6.355490974,6.690159425,6.691854329,6.397726177,6.412051258,6.726982409,6.029276854,6.305169093,6.306674518,6.967875051,7.374555104,7.39359506,6.889271087
7000,6.141356452,7.175580469,6.70401061,6.705688221,7.093165187,6.740455548,6.32267843,6.324170598,6.643935688,7.280574945,7.29886633,7.86346934,6.813512777,7.300696898,7.302686471,6.300298563,5.933819023,5.935133273,6.201576294,6.807377235,6.823365596,7.270874249,6.397345417,6.787118258,6.788837725,6.453388372,6.467755398,6.824474908,6.08373391,6.396548355,6.398075598,7.068858748,7.407742319,7.426679094,6.924762806
7100,6.116042754,7.095653283,6.641150675,6.649145514,7.028567663,6.688410766,6.283091734,6.290247261,6.60423947,7.257115331,7.284236156,7.752496137,6.808415937,7.213150452,7.222582762,6.269551794,5.912052308,5.918387244,6.17916664,6.79306346,6.816821052,7.195311005,6.398352477,6.728371928,6.736578276,6.445234252,6.466617355,6.776886083,6.088849337,6.361106183,6.368440612,6.983649558,7.381647391,7.409708787,6.917908531
7200,6.202184201,7.195592061,6.734688008,6.742795451,7.127561574,6.782613735,6.371585983,6.378842293,6.697256927,7.359328223,7.386831031,7.861686224,6.904309119,7.31474412,7.32430928,6.357855341,5.99532065,6.00174481,6.266197156,6.88874041,6.912832616,7.296653414,6.488470117,6.82313773,6.83145966,6.536012199,6.557696472,6.872335182,6.174607778,6.450699228,6.458136958,7.08201082,7.485614255,7.514070883,7.015343862
7300,6.288325649,7.29553084,6.828225342,6.836445387,7.226555485,6.876816703,6.460080233,6.467437325,6.790274384,7.375370792,7.402614066,7.97087631,6.924304002,7.416337789,7.426035798,6.446158887,6.078588993,6.085102377,6.353227672,6.925430966,6.949446229,7.397995822,6.526231331,6.917903532,6.926341044,6.588512754,6.610244531,6.967784282,6.226193926,6.540292273,6.547833305,7.180372081,7.512876188,7.541146718,7.045366425
7400,6.255588961,7.205517773,6.756091201,6.770986158,7.152322131,6.815683174,6.412209549,6.425625298,6.741960043,7.476403269,7.504019738,7.848355312,7.019157481,7.318111365,7.335590741,6.408279409,6.050332411,6.062275226,6.323939686,7.020299884,7.044644122,7.312992743,6.61563176,6.850489486,6.865804057,6.678766353,6.700795826,6.91176592,6.311484254,6.497182315,6.510956365,7.085224178,7.6157923,7.644450098,7.141878294
7500,6.340123947,7.302889635,6.847389731,6.862485971,7.248975133,6.907787,6.49886103,6.512458073,6.833067612,7.354788493,7.390995485,7.954414167,6.927645679,7.417004762,7.434720346,6.494877779,6.13209366,6.144197864,6.40939833,6.937144399,6.969347089,7.411816969,6.55587774,6.943063668,6.958585192,6.623380187,6.652729563,7.005168162,6.274956514,6.584982076,6.598942262,7.180970451,7.501534356,7.539204297,7.057690742
7600,6.424658933,7.400261497,6.938688261,6.953985784,7.345628134,6.999890827,6.58551251,6.599290847,6.92417518,7.452852339,7.489542092,8.060473023,7.020014288,7.515898159,7.53384995,6.58147615,6.213854909,6.226120503,6.494856975,7.029639658,7.062271717,7.510641195,6.643289443,7.03563785,7.051366328,6.711691922,6.741432624,7.098570405,6.358622601,6.672781837,6.686928159,7.276716724,7.601554814,7.639727021,7.151793285
7700,6.384439646,7.359695221,6.908579821,6.923547356,7.261727999,6.983213049,6.575792936,6.589351811,6.867159401,7.550916186,7.588088698,7.996676094,7.112382897,7.466903956,7.484391543,6.584134451,6.22073882,6.232871674,6.458656337,7.122134916,7.155196345,7.477661286,6.730701146,7.01242552,7.027846905,6.800003658,6.830135685,7.089331785,6.442288688,6.66980701,6.683756769,7.171574375,7.701575272,7.740249745,7.245895828
